is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
5.3,24.79,17.5,21.53,0.07,0.97,0.11,1.54,-23.66,-11.67
9.66,42.83,16.74,15.03,0.34,2.58,0.48,4.33,-20.0,-7.6
3.3,17.85,17.51,17.69,-0.04,0.78,-0.05,0.94,-27.96,-15.16
-1.22,10.47,16.03,12.0,-0.33,0.54,-0.42,0.75,-24.97,-6.04
13.94,35.46,18.29,15.26,0.54,2.06,0.73,3.12,-19.8,-9.4
14.61,-10.98,17.16,18.43,0.62,-0.81,0.88,-1.24,-23.93,-16.78
22.55,12.09,19.06,13.22,0.97,0.61,1.33,0.99,-29.09,-10.11
8.69,-7.79,16.53,12.63,0.28,-0.93,0.44,-1.62,-25.2,-7.78
-1.37,31.17,13.0,17.22,-0.41,1.58,-0.57,2.18,-24.0,-11.53
1.66,16.6,17.1,12.25,-0.14,1.03,-0.17,1.43,-28.04,-8.44
-3.15,49.25,17.73,17.47,-0.4,2.59,-0.52,3.99,-26.68,-9.21
20.6,-2.68,15.88,24.19,1.05,-0.28,1.38,-0.38,-21.53,-17.02
17.35,23.76,18.35,12.68,0.73,1.56,1.05,2.21,-16.84,-6.4
15.59,6.69,14.1,18.71,0.82,0.14,1.21,0.19,-12.35,-11.91
-4.96,-15.1,15.3,13.38,-0.59,-1.43,-0.81,-1.73,-32.58,-10.26
15.25,-4.99,18.1,9.71,0.62,-0.93,0.81,-1.38,-13.52,-7.78
2.89,-3.47,13.15,21.83,-0.08,-0.34,-0.12,-0.48,-22.98,-14.0
-3.63,-6.21,16.3,18.62,-0.47,-0.55,-0.58,-0.73,-32.65,-16.19
15.23,-1.03,18.21,14.5,0.62,-0.35,0.89,-0.52,-17.13,-9.0
-9.93,-19.94,17.51,13.8,-0.8,-1.74,-1.11,-2.8,-38.57,-11.73
7.45,12.22,13.98,15.74,0.25,0.52,0.36,0.65,-18.32,-4.74
2.29,3.05,17.44,16.24,-0.1,-0.06,-0.13,-0.09,-23.21,-10.63
6.83,26.95,18.7,14.92,0.15,1.54,0.2,2.23,-23.44,-5.92
17.96,3.78,16.94,18.34,0.82,-0.01,1.16,-0.01,-15.3,-12.47
12.2,-4.16,19.4,21.65,0.42,-0.38,0.58,-0.48,-20.96,-18.76
