is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
8.14,15.62,15.14,17.34,0.27,0.67,0.38,0.84,-21.64,-13.77
0.75,29.23,15.18,17.57,-0.21,1.44,-0.31,2.03,-22.13,-6.96
4.36,28.87,17.77,14.21,0.02,1.75,0.03,2.37,-18.38,-6.77
17.27,27.99,19.66,16.74,0.68,1.43,0.94,2.53,-19.04,-8.34
-1.66,11.21,12.73,9.32,-0.44,0.77,-0.61,1.03,-27.81,-4.37
12.35,22.16,15.07,18.15,0.55,1.0,0.79,1.7,-14.92,-12.04
5.01,21.24,16.94,15.56,0.06,1.11,0.08,1.19,-13.38,-7.29
8.94,34.24,15.71,20.14,0.31,1.5,0.45,2.24,-23.96,-7.09
10.47,4.71,18.08,13.93,0.36,0.05,0.51,0.08,-20.36,-6.2
11.46,51.99,15.92,27.11,0.47,1.77,0.7,2.96,-17.29,-12.61
14.54,15.63,12.38,12.15,0.85,0.96,1.25,1.65,-13.17,-6.67
4.97,30.21,17.41,16.51,0.06,1.59,0.08,2.55,-26.82,-6.41
13.47,26.92,17.05,12.91,0.56,1.77,0.75,2.91,-26.38,-6.03
3.08,14.27,14.01,14.09,-0.07,0.73,-0.09,0.9,-25.5,-6.43
9.44,34.44,15.98,19.67,0.34,1.55,0.44,2.67,-19.38,-6.0
7.34,13.14,17.57,27.49,0.19,0.33,0.26,0.41,-19.69,-15.67
7.32,110.36,18.33,20.75,0.18,5.13,0.24,6.94,-19.19,-6.77
5.09,0.8,17.65,17.96,0.06,-0.18,0.09,-0.27,-15.77,-10.21
8.66,-26.64,14.21,27.85,0.33,-1.1,0.47,-1.58,-21.25,-25.48
21.6,-24.38,18.52,22.21,0.95,-1.28,1.43,-1.69,-14.75,-24.66
2.26,-23.08,17.08,23.22,-0.1,-1.17,-0.13,-1.44,-34.86,-18.5
0.31,-4.86,18.85,19.01,-0.2,-0.47,-0.29,-0.57,-34.98,-11.9
7.15,-18.19,19.18,19.24,0.16,-1.15,0.22,-1.29,-27.08,-16.51
3.52,-4.76,16.62,18.82,-0.03,-0.47,-0.04,-0.55,-28.46,-14.0
-5.88,6.15,16.21,8.6,-0.61,0.25,-0.85,0.37,-29.69,-8.23
9.75,9.15,18.74,10.72,0.31,0.48,0.41,0.85,-23.58,-6.33
16.67,40.41,16.16,16.52,0.78,2.2,1.26,3.12,-12.49,-7.63
11.79,16.55,15.81,20.02,0.49,0.63,0.63,0.85,-27.32,-9.35
2.41,-3.99,17.74,16.33,-0.09,-0.49,-0.11,-0.69,-25.02,-9.79
5.49,5.42,18.95,9.6,0.08,0.15,0.12,0.23,-20.38,-7.17
-2.57,-10.15,19.58,15.53,-0.34,-0.91,-0.45,-0.98,-26.17,-13.74
8.71,16.53,17.42,13.23,0.27,0.95,0.35,1.28,-21.86,-12.61
5.19,-6.94,15.04,15.46,0.08,-0.71,0.11,-0.94,-22.77,-14.7
8.06,-15.18,14.73,9.92,0.28,-1.93,0.38,-2.39,-23.62,-10.55
3.72,32.68,19.27,19.56,-0.01,1.47,-0.02,2.73,-19.19,-6.86
4.67,16.75,16.05,14.72,0.04,0.87,0.06,1.38,-25.96,-12.76
1.06,25.06,15.07,18.44,-0.2,1.14,-0.27,1.48,-18.7,-10.17
2.0,-7.71,18.67,24.19,-0.11,-0.48,-0.14,-0.65,-21.29,-15.85
7.6,-19.38,17.26,10.58,0.21,-2.21,0.25,-3.63,-19.58,-13.89
-1.22,-20.61,17.11,10.97,-0.31,-2.24,-0.37,-2.98,-33.53,-13.93
1.12,26.98,18.45,16.21,-0.16,1.42,-0.2,1.63,-25.76,-7.45
3.69,-14.44,17.99,18.36,-0.02,-1.0,-0.03,-1.24,-36.09,-13.25
-5.57,6.45,13.43,14.89,-0.71,0.16,-0.95,0.23,-37.38,-8.83
2.84,2.72,17.05,14.08,-0.07,-0.09,-0.1,-0.15,-27.91,-11.83
8.93,-14.06,17.4,21.05,0.28,-0.86,0.36,-1.14,-18.8,-16.9
28.23,-14.67,17.19,21.52,1.41,-0.87,2.11,-1.09,-13.76,-15.01
11.12,16.6,14.04,14.69,0.51,0.86,0.75,1.64,-13.79,-10.07
-1.73,34.88,15.55,15.57,-0.37,1.98,-0.49,2.32,-41.0,-7.59
22.82,15.98,16.35,15.87,1.15,0.75,1.74,0.94,-25.28,-11.73
-1.14,-5.8,14.88,19.05,-0.35,-0.51,-0.45,-0.7,-18.15,-12.66
-5.24,13.06,19.78,21.59,-0.47,0.42,-0.63,0.58,-39.91,-8.89
19.6,-7.73,16.04,16.52,0.97,-0.71,1.29,-1.04,-13.68,-12.17
10.75,7.99,15.95,11.95,0.42,0.33,0.55,0.44,-18.29,-7.45
6.33,22.9,19.64,12.63,0.12,1.5,0.15,2.35,-23.75,-4.13
19.63,-29.03,15.92,28.21,0.98,-1.17,1.3,-1.59,-13.89,-15.76
9.11,-14.04,15.57,19.51,0.33,-0.92,0.48,-1.34,-15.92,-13.13
0.29,25.65,20.93,24.26,-0.18,0.89,-0.23,1.21,-31.74,-15.0
15.73,27.32,13.68,14.36,0.86,1.62,1.21,2.26,-15.41,-8.44
3.81,16.88,18.39,17.76,-0.01,0.73,-0.01,1.24,-29.76,-8.33
6.6,14.8,15.04,20.45,0.17,0.53,0.24,0.83,-25.97,-10.44
1.82,-12.66,16.65,16.16,-0.13,-1.03,-0.18,-1.46,-24.01,-12.76
5.51,12.8,17.1,14.44,0.09,0.61,0.11,0.85,-29.12,-7.2
-4.77,17.21,17.6,13.57,-0.5,0.97,-0.64,1.32,-24.91,-9.26
-4.59,36.8,17.75,15.15,-0.48,2.16,-0.64,2.84,-38.12,-5.27
0.06,35.32,13.98,14.09,-0.28,2.22,-0.39,3.37,-28.19,-6.56
9.35,2.14,15.94,21.58,0.34,-0.09,0.48,-0.12,-16.16,-11.66
7.88,24.76,16.14,11.23,0.24,1.85,0.36,2.73,-15.38,-4.16
5.84,14.76,15.63,12.66,0.12,0.85,0.16,1.22,-20.3,-8.06
3.62,7.64,16.29,13.54,-0.02,0.27,-0.03,0.4,-26.3,-8.47
8.33,-4.57,16.42,15.02,0.26,-0.57,0.34,-0.91,-22.59,-14.57
-0.38,36.66,15.4,12.87,-0.28,2.54,-0.4,4.7,-27.33,-4.2
-1.85,-18.69,22.53,22.13,-0.26,-1.03,-0.37,-1.36,-34.31,-15.03
1.13,36.23,17.61,15.22,-0.16,2.12,-0.21,2.87,-33.62,-6.02
1.57,55.95,18.83,23.68,-0.13,2.19,-0.17,3.23,-28.8,-8.58
9.08,63.88,15.19,14.26,0.33,4.2,0.4,7.88,-22.93,-2.78
-5.27,11.51,14.44,8.19,-0.64,0.92,-0.91,1.59,-25.0,-5.34
21.58,4.09,13.72,17.07,1.28,0.01,1.95,0.01,-18.14,-9.76
-8.5,26.53,19.11,12.96,-0.65,1.74,-0.89,3.22,-35.11,-5.04
-5.0,9.47,18.41,14.22,-0.49,0.38,-0.67,0.57,-35.76,-6.84
13.88,51.83,19.48,21.75,0.51,2.2,0.66,2.68,-18.08,-8.24
13.24,-10.45,15.42,11.59,0.6,-1.25,0.82,-2.12,-15.4,-8.66
0.62,16.31,16.03,25.55,-0.21,0.48,-0.28,0.59,-27.08,-13.52
5.92,4.08,15.48,15.95,0.12,0.01,0.17,0.01,-27.59,-7.84
1.89,46.3,19.85,11.01,-0.11,3.84,-0.15,6.92,-39.92,-3.74
-0.21,-11.8,14.88,14.27,-0.28,-1.11,-0.34,-1.6,-31.22,-16.52
