date,current_value,cum_pnl
2023-10-11,115673.29916996002,4127.519801635743
2023-10-12,114056.09641822815,2510.3170499038697
2023-10-13,115515.70559944154,3969.926231117249
2023-10-16,116319.83950370789,4774.060135383606
2023-10-17,116403.49362358094,4857.714255256653
2023-10-18,114600.68962223054,3054.9102539062505
2023-10-19,112672.28565876008,1126.5062904357912
2023-10-20,111201.10100048066,-344.67836784362777
2023-10-23,110264.30138553621,-1281.4779827880857
2023-10-24,114888.14172336578,3342.3623550415045
2023-10-25,114986.26318687439,3440.4838185501108
2023-10-26,116487.19473121644,4941.415362892151
2023-10-27,113966.83765926362,2421.0582909393315
2023-10-30,115213.60416938782,3667.8248010635384
2023-10-31,116509.03667201997,4963.257303695679
2023-11-01,117382.69592868804,-294.971533126833
2023-11-02,120972.32949989318,3294.662038078306
2023-11-03,126109.43501998902,8431.767558174131
2023-11-06,128054.12464988708,10376.457188072203
2023-11-07,127652.18468925476,9974.517227439877
2023-11-08,127278.52727153778,9600.859809722899
2023-11-09,124553.87642864228,6876.208966827391
2023-11-10,124063.2912468338,6385.623785018919
2023-11-13,122745.86132411957,5068.193862304685
2023-11-14,129645.46188125611,11967.794419441221
2023-11-15,131351.34458118438,13673.677119369506
2023-11-16,131350.02803432464,13672.360572509764
2023-11-17,132369.90546833037,14692.238006515501
2023-11-20,131400.50991886138,13722.842457046507
2023-11-21,131846.21224536895,14168.544783554076
2023-11-22,132473.05601509096,14795.388553276061
2023-11-24,133103.23295482635,15425.565493011472
2023-11-27,132457.88924365997,14780.221781845092
2023-11-28,133170.8168960953,15493.149434280393
2023-11-29,132932.25254917145,15254.585087356565
2023-11-30,132205.22572277067,14527.558260955808
2023-12-01,134666.01760709763,0.0
2023-12-04,134398.54571397783,-267.4718931198121
2023-12-05,133285.9626871109,-1380.054919986725
2023-12-06,136290.74259357454,1624.7249864768983
2023-12-07,135978.8885390091,1312.8709319114687
2023-12-08,135492.69885631563,826.6812492179871
2023-12-11,135925.71092596056,1259.693318862915
2023-12-12,135415.3339871788,749.3163800811768
2023-12-13,140935.99258821487,6269.974981117249
2023-12-14,136972.17093667985,2306.1533295822146
2023-12-15,132883.8394206238,-1782.178186473846
2023-12-18,131152.98154069902,-3513.0360663986203
2023-12-19,132947.64759464265,-1718.370012454986
2023-12-20,130156.30058080674,-4509.717026290893
2023-12-21,130205.03233194351,-4460.985275154114
2023-12-22,130897.37461147309,-3768.642995624542
2023-12-26,131865.5818808365,-2800.435726261139
2023-12-27,131751.14002275467,-2914.877584342956
2023-12-28,133054.09756628037,-1611.92004081726
2023-12-29,132899.24599393847,-1766.7716131591792
2024-01-02,134829.74380187987,-2901.251535644535
2024-01-03,134768.2448364258,-2962.750501098637
2024-01-04,134900.33761749268,-2830.6577200317424
2024-01-05,135349.44727355958,-2381.5480639648476
2024-01-08,136286.90013679504,-1444.0952007293743
2024-01-09,135234.15541007995,-2496.8399274444623
2024-01-10,135102.39686111448,-2628.598476409916
2024-01-11,132079.4771080017,-5651.518229522709
2024-01-12,131853.46516990662,-5877.530167617801
2024-01-16,130131.52595024108,-7599.469387283329
2024-01-17,129467.95098388672,-8263.044353637699
2024-01-18,128317.24840179444,-9413.746935729983
2024-01-19,128004.5330437851,-9726.462293739321
2024-01-22,127380.3208795929,-10350.674457931522
2024-01-23,127488.72933124541,-10242.266006278995
2024-01-24,125384.01140285491,-12346.983934669497
2024-01-25,128295.1931236267,-9435.802213897708
2024-01-26,129174.2407156372,-8556.75462188721
2024-01-29,129009.04834514618,-8721.946992378238
2024-01-30,128956.48537391663,-8774.509963607792
2024-01-31,127983.56122737884,-9747.434110145572
2024-02-01,129524.83292388916,-2002.3623893737831
2024-02-02,127481.58000556944,-4045.615307693485
2024-02-05,125966.76352428435,-5560.43178897858
2024-02-06,127131.95546211241,-4395.239851150516
2024-02-07,127391.37037826538,-4135.824934997562
2024-02-08,126286.79538204192,-5240.399931221012
2024-02-09,127052.98778739928,-4474.2075258636505
2024-02-12,128504.30849193572,-3022.886821327213
2024-02-13,126046.57734157561,-5480.61797168732
2024-02-14,126657.8668188095,-4869.328494453434
2024-02-15,129142.76627216338,-2384.429041099552
2024-02-16,128764.43273944853,-2762.7625738143956
2024-02-20,128643.49365375517,-2883.701659507755
2024-02-21,130529.72579204559,-997.4695212173501
